File,SOH,seg_id,direction,I_A,C_rate,step_dur_s,OCV_V,R0_ohm,R1_ohm,tau1_s,C1_F,R2_ohm,tau2_s,C2_F,V1_0_mV,V2_0_mV,R0_jump_ohm,R0_consistent,rmse_mV,degenerate,n_points
cell003_cyc,NA,70,DCH,-1.408,-0.469,4320.2,3.5715,0.01955,0.01511,34.663,2293.9,0.00913,241.46,26442.3,-21.28,-12.86,0.01736,False,0.234,False,905
cell003_cyc,NA,72,CHA,1.408,0.469,4317.2,4.1074,0.02746,0.02231,28.4,1272.9,0.01601,235.73,14725.2,31.42,22.54,0.0232,False,0.36,False,907
cell003_cyc,NA,74,DCH,-1.408,-0.469,4320.4,3.5706,0.01972,0.01498,35.376,2361.5,0.00893,244.25,27365.4,-21.09,-12.57,0.01744,False,0.231,False,905
cell003_cyc,NA,76,CHA,1.408,0.469,4320.8,4.1074,0.02728,0.02243,28.063,1250.9,0.01606,235.84,14685.2,31.59,22.62,0.02304,False,0.376,False,908
cell003_cyc,NA,78,DCH,-1.408,-0.469,4320.4,3.5703,0.01955,0.01494,34.574,2313.9,0.00901,240.4,26674.2,-21.04,-12.69,0.01744,False,0.238,False,905
cell003_cyc,NA,80,CHA,1.408,0.469,4319.0,4.1073,0.02696,0.02255,27.082,1201.2,0.01631,231.11,14168.1,31.75,22.97,0.02304,False,0.397,False,908
cell003_cyc,NA,82,DCH,-1.408,-0.469,4320.4,3.5699,0.0197,0.01483,35.053,2364.0,0.00893,244.13,27324.9,-20.88,-12.58,0.01752,False,0.224,False,905
cell003_cyc,NA,84,CHA,1.408,0.469,4321.5,4.1074,0.02697,0.0225,27.203,1209.2,0.01626,231.17,14214.2,31.68,22.9,0.02297,False,0.393,False,908
cell003_cyc,NA,86,DCH,-1.408,-0.469,4320.4,3.5698,0.0197,0.01474,34.833,2363.7,0.00894,242.14,27099.1,-20.75,-12.58,0.01744,False,0.222,False,905
cell003_cyc,NA,88,CHA,1.408,0.469,4318.7,4.1074,0.0269,0.02256,26.897,1192.5,0.0163,230.06,14117.7,31.76,22.95,0.02289,False,0.406,False,909
cell003_cyc,NA,90,DCH,-1.408,-0.469,4320.3,3.5692,0.01964,0.01457,34.088,2339.9,0.00905,235.15,25983.4,-20.51,-12.74,0.01744,False,0.222,False,905
cell003_cyc,NA,92,CHA,1.408,0.469,4319.9,4.1073,0.02743,0.02237,28.233,1262.1,0.01603,235.65,14700.1,31.5,22.57,0.02352,False,0.359,False,907
cell003_cyc,NA,94,DCH,-1.408,-0.469,4320.3,3.5688,0.01951,0.01439,32.939,2288.2,0.00922,227.59,24695.6,-20.27,-12.98,0.01744,False,0.228,False,905
cell003_cyc,NA,96,CHA,1.408,0.469,4318.4,4.1072,0.02752,0.02237,28.201,1260.7,0.01604,235.3,14666.8,31.5,22.59,0.02336,False,0.363,False,907
cell003_cyc,NA,98,DCH,-1.408,-0.469,4320.4,3.5682,0.01953,0.01434,32.943,2297.7,0.00919,229.27,24938.4,-20.19,-12.95,0.01736,False,0.225,False,905
cell003_cyc,NA,100,CHA,1.408,0.469,4321.1,4.1073,0.02717,0.0225,27.321,1214.5,0.0162,231.49,14289.7,31.68,22.81,0.02336,False,0.387,False,907
cell003_cyc,NA,102,DCH,-1.408,-0.469,4320.3,3.5682,0.01971,0.01443,34.139,2366.2,0.00892,239.54,26843.3,-20.32,-12.57,0.01744,False,0.215,False,905
cell003_cyc,NA,104,CHA,1.408,0.469,4320.5,4.1073,0.02723,0.02245,27.453,1222.8,0.01618,232.37,14359.4,31.61,22.79,0.02328,False,0.381,False,907
cell003_cyc,NA,106,DCH,-1.408,-0.469,4320.4,3.5679,0.01937,0.01436,32.137,2238.7,0.00925,228.38,24701.3,-20.21,-13.02,0.01744,True,0.236,False,906
cell003_cyc,NA,108,CHA,1.408,0.469,4318.9,4.1072,0.02687,0.02264,26.518,1171.4,0.01638,229.59,14014.9,31.88,23.07,0.0232,False,0.418,False,909
cell003_cyc,NA,110,DCH,-1.408,-0.469,4320.3,3.5675,0.01964,0.01426,33.427,2343.9,0.009,235.77,26193.9,-20.08,-12.67,0.01744,False,0.216,False,905
cell003_cyc,NA,112,CHA,1.408,0.469,4319.4,4.1071,0.02716,0.0225,27.317,1214.0,0.01624,232.63,14323.9,31.69,22.87,0.02344,False,0.381,False,907
cell003_cyc,NA,114,DCH,-1.408,-0.469,4320.2,3.5671,0.01968,0.01429,33.794,2364.3,0.00891,241.52,27118.2,-20.13,-12.54,0.01744,False,0.22,False,905
cell003_cyc,NA,116,CHA,1.408,0.469,4320.1,4.1071,0.02748,0.02234,27.685,1239.3,0.01615,232.46,14389.6,31.46,22.75,0.02304,False,0.377,False,908
cell003_cyc,NA,118,DCH,-1.408,-0.469,4320.4,3.5669,0.01957,0.01427,32.846,2302.5,0.00902,237.88,26363.3,-20.09,-12.71,0.0176,False,0.226,False,905
cell003_cyc,NA,120,CHA,1.408,0.469,4322.1,4.1073,0.02701,0.02247,26.707,1188.3,0.01635,228.99,14006.8,31.65,23.02,0.02344,False,0.397,False,908
cell003_cyc,NA,122,DCH,-1.408,-0.469,4320.4,3.5671,0.01966,0.0144,33.891,2353.5,0.00878,245.67,27985.5,-20.28,-12.36,0.01744,False,0.222,False,905
cell003_cyc,NA,124,CHA,1.408,0.469,4317.3,4.1071,0.02726,0.02247,27.124,1207.3,0.01625,231.03,14213.6,31.64,22.89,0.02312,False,0.389,False,908
cell003_cyc,NA,126,DCH,-1.408,-0.469,4320.2,3.5663,0.01969,0.01422,33.835,2379.2,0.00876,244.51,27909.1,-20.03,-12.34,0.01744,False,0.222,False,905
cell003_cyc,NA,128,CHA,1.408,0.469,4320.8,4.1071,0.02703,0.02253,26.755,1187.6,0.01632,229.94,14088.3,31.73,22.98,0.0232,False,0.408,False,908
cell003_cyc,NA,130,DCH,-1.408,-0.469,4320.3,3.5662,0.0197,0.01425,33.764,2369.4,0.00873,245.44,28117.0,-20.07,-12.29,0.01744,False,0.223,False,905
cell003_cyc,NA,132,CHA,1.408,0.469,4318.8,4.1069,0.02764,0.02243,28.083,1251.8,0.01603,235.78,14707.8,31.59,22.57,0.02312,False,0.377,False,908
